Cust_ID,International.Plan,Voice.Mail.Plan,X..Vmail.Messages,X..customer.Service.Calls,Churn,trainrows,Total.Day.Minutes,Total.Day.Calls,Total.Day.Charge,Total.Eve.Minutes,Total.Eve.Calls,Total.Eve.Charge,Total.Night.Minutes,Total.Night.Calls,Total.Night.Charge,Total.Intl.Minutes,Total.Intl.Calls,Total.Intl.Charge
130,no,no,0,1,False.,Yes,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3.0
131,no,no,0,2,False.,Yes,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83
132,no,no,0,1,False.,Yes,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78
133,no,no,0,3,False.,Yes,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4
134,no,no,0,1,True.,Yes,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19
135,no,yes,25,0,False.,No,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24
136,no,yes,37,3,False.,No,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97
137,no,yes,30,0,False.,Yes,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92
138,no,no,0,1,False.,No,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7
139,yes,yes,33,3,False.,Yes,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84
140,no,no,0,1,False.,No,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0
141,no,no,0,3,False.,Yes,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54
142,yes,yes,41,0,True.,No,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94
143,no,no,0,2,False.,No,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7
144,no,no,0,3,False.,No,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48
145,no,no,0,1,False.,Yes,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95
146,no,yes,28,2,False.,No,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3
147,no,no,0,3,False.,No,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56
148,no,no,0,2,False.,Yes,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0
149,no,no,0,5,True.,Yes,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38
150,no,yes,24,1,False.,No,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97
151,no,no,0,3,False.,Yes,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11
152,no,no,0,1,False.,Yes,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84
153,no,no,0,2,False.,No,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08
154,no,no,0,2,False.,Yes,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51
155,no,no,0,5,True.,Yes,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62
156,no,no,0,1,False.,No,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75
157,no,no,0,1,False.,Yes,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16
158,no,yes,30,3,True.,No,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57
159,no,no,0,3,False.,Yes,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27
160,no,no,0,1,False.,Yes,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24
161,no,no,0,1,False.,Yes,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08
162,no,yes,34,2,False.,Yes,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13
163,no,yes,33,2,False.,Yes,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94
164,no,yes,28,3,False.,No,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4
165,no,no,0,2,False.,Yes,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21
166,no,yes,41,2,False.,Yes,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67
167,yes,no,0,0,False.,Yes,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51
168,yes,no,0,0,False.,Yes,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24
169,no,no,0,1,False.,Yes,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11
170,no,no,0,4,True.,No,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73
171,no,no,0,3,False.,Yes,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19
172,no,yes,46,0,False.,Yes,224.9,97,38.23,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27
173,no,no,0,3,False.,Yes,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16
174,no,no,0,1,False.,No,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97
175,no,no,0,0,False.,Yes,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24
176,no,no,0,1,False.,Yes,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65
177,no,no,0,0,True.,Yes,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16
178,no,no,0,4,True.,No,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21
179,no,no,0,2,False.,Yes,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21
180,no,no,0,1,False.,Yes,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05
181,no,no,0,1,False.,Yes,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56
182,yes,no,0,3,False.,Yes,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4
183,no,yes,25,3,False.,Yes,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97
184,no,yes,24,1,False.,Yes,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65
185,no,no,0,2,True.,No,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35
186,no,yes,29,0,False.,Yes,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32
187,no,no,0,4,True.,Yes,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16
188,no,no,0,1,False.,No,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24
189,no,yes,35,2,False.,No,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94
190,no,no,0,1,True.,Yes,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75
191,no,no,0,1,False.,Yes,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0
192,no,no,0,0,True.,Yes,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4
193,no,no,0,1,False.,Yes,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13
194,no,no,0,3,False.,Yes,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57
195,no,no,0,3,False.,Yes,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86
196,no,no,0,1,False.,No,278.4,106,47.33,81.0,113,6.89,163.2,137,7.34,9.8,5,2.65
197,no,no,0,0,False.,Yes,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51
198,no,no,0,4,False.,Yes,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35
199,no,no,0,1,True.,Yes,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43
200,no,no,0,2,True.,Yes,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65
201,no,yes,21,4,False.,No,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19
202,no,no,0,0,False.,Yes,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94
203,no,no,0,0,False.,Yes,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84
204,no,no,0,1,False.,Yes,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38
205,no,no,0,1,False.,Yes,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05
206,no,no,0,4,False.,No,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19
207,no,yes,29,2,False.,Yes,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9.0,6,2.43
208,no,yes,21,1,False.,No,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65
209,no,yes,32,1,False.,No,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73
210,no,no,0,3,False.,No,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59
211,no,no,0,1,False.,No,165.0,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24
212,no,no,0,2,False.,No,185.0,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4
213,no,no,0,4,False.,Yes,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27
214,no,no,0,1,False.,Yes,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,13.3,7,3.59
215,no,no,0,1,False.,Yes,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54
216,yes,yes,42,0,True.,Yes,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4
217,no,no,0,1,False.,Yes,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83
218,no,no,0,1,True.,Yes,282.5,114,48.03,219.9,48,18.69,170.0,115,7.65,9.4,4,2.54
219,no,yes,36,2,False.,Yes,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10.0,3,2.7
220,no,no,0,2,False.,Yes,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35
221,no,no,0,1,False.,Yes,210.2,92,35.73,227.3,77,19.32,200.1,116,9.0,13.1,7,3.54
222,no,yes,22,0,False.,No,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94
223,no,no,0,3,False.,Yes,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65
224,no,no,0,1,False.,No,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13
225,no,no,0,2,False.,Yes,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48
226,no,no,0,1,False.,No,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12.0,3,3.24
227,no,no,0,4,True.,No,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46
228,no,yes,27,4,True.,No,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73
229,no,no,0,2,False.,Yes,91.7,90,15.59,193.7,123,16.46,175.0,86,7.88,9.2,4,2.48
230,no,yes,36,3,False.,No,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57
231,no,no,0,3,False.,Yes,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94
232,no,no,0,1,False.,Yes,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65
233,no,no,0,1,False.,No,231.0,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57
234,no,no,0,4,False.,Yes,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92
235,no,no,0,1,False.,Yes,197.0,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46
236,yes,no,0,3,False.,No,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02
237,no,yes,21,5,False.,Yes,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43
238,no,no,0,3,False.,No,203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,12.0,3,3.24
239,no,yes,36,1,False.,No,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02
240,no,yes,23,2,False.,No,205.0,101,34.85,152.0,60,12.92,158.6,59,7.14,10.2,5,2.75
241,no,no,0,1,False.,Yes,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35
242,no,yes,39,0,False.,Yes,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84
243,no,yes,28,3,False.,Yes,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84
244,no,no,0,1,False.,Yes,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16
245,yes,no,0,2,True.,No,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81
246,no,no,0,3,False.,Yes,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86
247,no,no,0,1,False.,Yes,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7
248,yes,no,0,1,False.,No,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16
249,no,no,0,1,False.,Yes,181.5,121,30.86,218.4,98,18.56,161.6,103,7.27,8.5,5,2.3
250,no,yes,43,2,False.,Yes,257.7,97,43.81,162.1,95,13.78,286.9,86,12.91,11.1,4,3.0
251,no,no,0,1,False.,No,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86
252,no,no,0,1,False.,No,102.8,119,17.48,206.7,91,17.57,299.0,105,13.46,10.1,7,2.73
253,no,no,0,1,False.,Yes,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03
254,no,no,0,1,False.,Yes,226.0,112,38.42,248.5,118,21.12,140.5,142,6.32,6.9,11,1.86
255,no,no,0,5,False.,Yes,260.4,115,44.27,146.0,46,12.41,269.5,87,12.13,11.5,4,3.11
256,no,no,0,0,False.,Yes,178.7,116,30.38,292.1,138,24.83,265.9,101,11.97,9.8,4,2.65
257,no,no,0,0,True.,No,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27
258,no,yes,23,0,False.,Yes,157.6,129,26.79,247.0,96,21.0,259.2,112,11.66,13.7,2,3.7
259,no,no,0,1,False.,Yes,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75
260,no,yes,24,1,False.,Yes,142.1,124,24.16,183.4,129,15.59,164.8,114,7.42,9.6,4,2.59
261,no,no,0,0,False.,Yes,136.3,97,23.17,172.2,108,14.64,137.5,101,6.19,7.1,5,1.92
262,no,no,0,0,False.,Yes,217.1,110,36.91,241.5,111,20.53,253.5,103,11.41,12.0,6,3.24
263,no,yes,36,3,False.,Yes,187.5,99,31.88,241.4,116,20.52,229.5,105,10.33,10.5,5,2.84
264,no,no,0,1,False.,Yes,98.9,103,16.81,135.4,122,11.51,236.6,82,10.65,12.2,1,3.29
265,no,no,0,1,False.,Yes,206.3,151,35.07,148.6,89,12.63,167.2,91,7.52,6.1,3,1.65
266,no,yes,33,2,False.,No,243.1,92,41.33,213.8,92,18.17,228.7,104,10.29,12.1,2,3.27
267,no,yes,31,1,False.,Yes,189.8,126,32.27,163.3,133,13.88,264.8,126,11.92,7.5,3,2.03
268,no,no,0,1,False.,Yes,202.0,102,34.34,243.2,128,20.67,261.3,90,11.76,10.9,3,2.94
269,no,yes,38,1,False.,No,170.1,124,28.92,193.3,116,16.43,105.9,73,4.77,12.8,4,3.46
270,no,no,0,0,False.,Yes,230.9,87,39.25,187.4,90,15.93,154.0,53,6.93,6.3,2,1.7
271,no,no,0,1,False.,Yes,237.1,105,40.31,223.5,105,19.0,97.4,79,4.38,13.2,2,3.56
272,no,yes,27,2,False.,Yes,182.1,91,30.96,169.7,98,14.42,164.7,86,7.41,10.6,5,2.86
273,no,no,0,3,False.,Yes,119.3,87,20.28,211.5,101,17.98,268.9,86,12.1,10.5,4,2.84
274,no,no,0,1,False.,Yes,116.8,87,19.86,178.9,93,15.21,182.4,150,8.21,14.1,2,3.81
275,no,no,0,0,False.,Yes,219.2,92,37.26,149.4,125,12.7,244.7,104,11.01,6.1,5,1.65
276,no,no,0,2,False.,Yes,252.6,104,42.94,169.0,125,14.37,170.9,106,7.69,11.1,7,3.0
277,no,no,0,0,False.,Yes,147.1,91,25.01,190.4,107,16.18,195.2,115,8.78,12.2,3,3.29
278,no,no,0,2,False.,Yes,202.1,103,34.36,229.4,86,19.5,195.2,113,8.78,11.5,3,3.11
279,no,no,0,3,False.,No,173.5,93,29.5,194.1,76,16.5,208.0,112,9.36,16.2,10,4.37
280,no,no,0,3,False.,No,232.1,122,39.46,292.3,112,24.85,201.2,112,9.05,0.0,0,0.0
281,yes,yes,23,4,False.,No,197.1,125,33.51,214.5,136,18.23,282.2,103,12.7,9.5,5,2.57
282,no,no,0,5,True.,Yes,58.2,94,9.89,138.7,118,11.79,136.8,91,6.16,11.9,1,3.21
283,no,yes,36,2,False.,Yes,115.6,111,19.65,237.7,94,20.2,169.9,103,7.65,9.9,12,2.67
284,no,no,0,2,False.,Yes,186.1,98,31.64,254.3,57,21.62,214.0,127,9.63,14.6,7,3.94
285,yes,no,0,3,False.,Yes,259.9,68,44.18,245.0,122,20.83,134.4,121,6.05,8.4,3,2.27
286,no,no,0,1,False.,Yes,214.3,145,36.43,268.5,135,22.82,241.2,92,10.85,10.8,13,2.92
287,no,no,0,1,False.,No,158.7,74,26.98,64.3,139,5.47,198.5,103,8.93,10.2,4,2.75
288,no,no,0,2,False.,Yes,271.6,71,46.17,229.4,108,19.5,77.3,121,3.48,10.9,3,2.94
289,no,no,0,1,False.,Yes,160.6,111,27.3,163.2,126,13.87,187.1,112,8.42,9.0,3,2.43
290,no,no,0,1,False.,No,232.4,109,39.51,187.4,95,15.93,231.2,107,10.4,9.1,3,2.46
291,no,no,0,0,False.,No,133.8,85,22.75,180.5,94,15.34,112.2,115,5.05,8.9,4,2.4
292,no,no,0,1,False.,Yes,176.9,109,30.07,90.7,104,7.71,238.0,69,10.71,9.5,2,2.57
293,no,no,0,2,False.,Yes,209.9,74,35.68,195.1,77,16.58,208.2,119,9.37,8.8,4,2.38
294,no,no,0,0,False.,Yes,137.5,118,23.38,203.2,88,17.27,150.0,131,6.75,13.4,2,3.62
295,no,yes,23,1,False.,Yes,289.5,52,49.22,166.6,111,14.16,119.1,88,5.36,9.5,4,2.57
296,no,yes,23,1,False.,Yes,198.1,86,33.68,177.0,86,15.05,180.5,92,8.12,6.8,6,1.84
297,no,no,0,0,False.,No,149.7,119,25.45,182.2,115,15.49,261.5,126,11.77,9.7,8,2.62
298,no,no,0,2,True.,Yes,326.5,67,55.51,176.3,113,14.99,181.7,102,8.18,10.7,6,2.89
299,yes,yes,26,4,True.,Yes,292.9,101,49.79,199.7,97,16.97,255.3,127,11.49,13.8,7,3.73
300,no,no,0,0,False.,Yes,83.0,64,14.11,177.0,106,15.05,245.7,89,11.06,13.0,3,3.51
301,no,yes,24,3,False.,No,145.7,146,24.77,220.5,136,18.74,249.9,96,11.25,13.1,5,3.54
302,no,no,0,2,False.,No,182.3,101,30.99,328.2,93,27.9,245.0,131,11.03,11.2,1,3.02
303,no,no,0,3,False.,Yes,218.0,86,37.06,184.0,94,15.64,240.5,110,10.82,6.4,8,1.73
304,no,no,0,2,False.,No,140.6,109,23.9,178.6,51,15.18,217.0,83,9.76,6.8,3,1.84
305,no,no,0,1,False.,Yes,152.7,105,25.96,257.5,80,21.89,198.1,93,8.91,9.4,4,2.54
306,no,yes,36,1,False.,No,106.7,76,18.14,209.8,77,17.83,190.4,117,8.57,12.1,2,3.27
307,no,no,0,2,False.,No,243.8,98,41.45,83.9,72,7.13,179.8,84,8.09,13.7,8,3.7
308,no,no,0,3,False.,Yes,194.4,94,33.05,186.7,95,15.87,223.3,90,10.05,10.8,5,2.92
309,no,no,0,3,False.,Yes,213.9,95,36.36,151.9,70,12.91,260.1,124,11.7,12.2,5,3.29
310,no,no,0,3,False.,Yes,217.2,112,36.92,246.7,89,20.97,226.1,89,10.17,15.8,7,4.27
311,no,no,0,1,False.,Yes,241.1,72,40.99,155.6,98,13.23,188.2,109,8.47,11.6,10,3.13
312,yes,no,0,0,False.,Yes,203.5,100,34.6,247.6,103,21.05,194.3,94,8.74,11.9,11,3.21
313,no,yes,24,1,False.,No,155.2,131,26.38,244.5,106,20.78,122.4,68,5.51,10.7,3,2.89
314,no,yes,31,1,False.,Yes,167.6,139,28.49,113.0,118,9.61,246.9,121,11.11,12.2,6,3.29
315,yes,no,0,2,True.,No,226.7,98,38.54,228.1,115,19.39,73.2,93,3.29,17.6,4,4.75
316,no,no,0,3,False.,Yes,179.3,93,30.48,178.6,98,15.18,225.2,131,10.13,11.5,6,3.11
317,no,no,0,0,False.,Yes,151.4,89,25.74,186.4,76,15.84,172.5,120,7.76,10.9,3,2.94
318,no,no,0,3,False.,Yes,180.0,80,30.6,224.2,82,19.06,265.4,91,11.94,4.7,7,1.27
319,no,no,0,1,True.,No,250.2,121,42.53,267.1,118,22.7,151.0,114,6.8,13.0,2,3.51
320,no,no,0,0,False.,Yes,223.0,121,37.91,110.1,98,9.36,188.7,107,8.49,7.1,12,1.92
321,no,no,0,3,False.,No,183.6,116,31.21,152.6,98,12.97,212.2,99,9.55,12.2,6,3.29
322,no,yes,22,1,False.,Yes,166.0,114,28.22,174.5,103,14.83,244.9,68,11.02,10.2,6,2.75
323,no,no,0,1,False.,Yes,136.1,112,23.14,272.9,96,23.2,220.2,104,9.91,4.4,2,1.19
324,no,no,0,2,False.,Yes,149.3,113,25.38,242.2,122,20.59,174.3,104,7.84,8.9,6,2.4
325,no,no,0,2,False.,Yes,65.4,97,11.12,168.2,76,14.3,236.0,113,10.62,13.8,1,3.73
326,no,no,0,1,False.,Yes,213.4,111,36.28,234.5,94,19.93,250.1,123,11.25,2.7,4,0.73
327,no,no,0,3,False.,Yes,206.9,85,35.17,244.7,78,20.8,221.5,136,9.97,7.7,2,2.08
328,no,yes,27,2,False.,Yes,186.2,78,31.65,189.6,83,16.12,76.5,139,3.44,9.6,3,2.59
329,no,yes,23,4,False.,Yes,280.2,136,47.63,220.5,92,18.74,136.9,102,6.16,13.3,3,3.59
330,no,yes,22,0,False.,Yes,196.6,84,33.42,313.2,92,26.62,163.3,108,7.35,11.9,3,3.21
331,yes,no,0,0,True.,No,312.0,109,53.04,129.4,100,11.0,217.6,74,9.79,10.5,2,2.84
332,yes,yes,36,1,False.,Yes,199.0,110,33.83,291.3,111,24.76,197.6,92,8.89,11.0,6,2.97
333,no,no,0,3,False.,Yes,203.1,96,34.53,217.0,126,18.45,180.9,122,8.14,13.5,2,3.65
334,no,no,0,0,False.,Yes,168.8,97,28.7,220.3,87,18.73,154.3,113,6.94,10.9,2,2.94
335,yes,no,0,1,False.,Yes,173.1,140,29.43,240.3,105,20.43,233.2,117,10.49,9.0,5,2.43
336,no,no,0,5,True.,No,134.4,106,22.85,211.3,98,17.96,193.6,125,8.71,10.2,2,2.75
337,no,yes,40,2,False.,Yes,202.6,103,34.44,118.8,128,10.1,234.9,98,10.57,9.0,9,2.43
338,no,no,0,3,False.,Yes,74.5,117,12.67,200.8,98,17.07,192.2,101,8.65,9.8,7,2.65
339,no,no,0,0,False.,No,83.6,148,14.21,120.9,91,10.28,226.6,110,10.2,10.7,9,2.89
340,no,no,0,1,False.,Yes,192.2,86,32.67,168.6,116,14.33,139.8,87,6.29,9.4,6,2.54
